Age,Salary,Purchased
18,20,0
19,22,0
20,24,0
21,28,0
22,60,1
23,36,0
24,30,0
26,32,1
26,36,0
27,37,0
28,80,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
36,60,1
37,23,0
38,63,1
39,30,0
40,60,1
41,63,1
42,46,0
43,62,1
44,61,1
46,60,1
46,22,0
47,66,1
48,63,1
60,46,1
62,66,1
64,78,1
66,78,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
66,46,1
67,66,1
68,80,1
69,90,1
60,96,1
29,40,0
30,46,0
31,60,0
32,46,0
33,47,0
34,46,0
36,66,1
